LAT,LNG,COMUNA,Tipo_Accdt,Fallecidos,Graves,Menos_Grav,Leves,Hora,Año,Fecha,X,Y,COD_REG,FID,CUT,IdAccident
-20.2273588,-70.1480139,IQUIQUE,CHOQUE FRENTE/POSTERIOR,0,0,0,0,07:12:00,2018,2018/05/11 00:00:00+00,-70.1480139,-20.2273588,1,1,1101,1098862
-20.2304174,-70.1387314,IQUIQUE,CHOQUE FRENTE/LADO,0,0,0,0,08:00:00,2018,2018/05/13 00:00:00+00,-70.1387314,-20.2304174,1,2,1101,1099052
-20.2330169,-70.1303701,IQUIQUE,CHOQUE FRONTAL,0,0,0,0,08:30:00,2018,2018/05/13 00:00:00+00,-70.1303701,-20.2330169,1,3,1101,1099065
-20.2199419,-70.1393996,IQUIQUE,COLISION POR ALCANCE,0,0,0,0,17:10:00,2018,2018/05/13 00:00:00+00,-70.1393996,-20.2199419,1,4,1101,1099085
-20.2284457,-70.1370139,IQUIQUE,CHOQUE FRENTE/POSTERIOR,0,0,0,0,17:30:00,2018,2018/05/13 00:00:00+00,-70.1370139,-20.2284457,1,5,1101,1099091
-20.2680481,-70.0992234,ALTO HOSPICIO,COLISION,0,0,0,2,18:20:00,2018,2018/05/13 00:00:00+00,-70.0992234,-20.2680481,1,6,1107,1099214
-20.2442983,-70.1257647,IQUIQUE,CHOQUE LATERAL,0,0,0,0,03:30:00,2018,2018/05/13 00:00:00+00,-70.1257647,-20.2442983,1,7,1101,1099445
-20.239015,-70.14459,IQUIQUE,CHOQUE LATERAL,0,0,0,0,17:05:00,2018,2018/05/14 00:00:00+00,-70.14459,-20.239015,1,8,1101,1099488
-20.2120381,-70.1524706,IQUIQUE,COLISION LATERAL,0,0,0,1,13:30:00,2018,2018/05/14 00:00:00+00,-70.1524706,-20.2120381,1,9,1101,1099512
-20.2572701,-70.1337646,IQUIQUE,ATROPELLO,0,0,0,1,08:20:00,2018,2018/05/15 00:00:00+00,-70.1337646,-20.2572701,1,10,1101,1099893
