,Fecha_Hora,LNG,LAT,Año,Fallecidos,Graves,Menos_Grav,Leves,Causa_CON,Tipo_CONA,Count_acc
0,2018-05-11 07:12:00,-70.1480139,-20.2273588,2018,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0
1,2018-05-13 08:00:00,-70.1387314,-20.2304174,2018,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,1
2,2018-05-13 08:30:00,-70.1303701,-20.2330169,2018,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,2
3,2018-05-13 17:10:00,-70.1393996,-20.2199419,2018,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,COLISION,3
4,2018-05-13 17:30:00,-70.1370139,-20.2284457,2018,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,4
5,2018-05-13 18:20:00,-70.0992234,-20.2680481,2018,0,0,0,2,ALCOHOL EN CONDUCTOR,COLISION,5
6,2018-05-13 03:30:00,-70.1257647,-20.2442983,2018,0,0,0,0,ALCOHOL EN CONDUCTOR,CHOQUE,6
7,2018-05-14 17:05:00,-70.14459,-20.239015,2018,0,0,0,0,FALLAS MECANICAS,CHOQUE,7
8,2018-05-14 13:30:00,-70.1524706,-20.2120381,2018,0,0,0,1,DESOBEDIENCIA A SEÑALIZACION,COLISION,8
9,2018-05-15 08:20:00,-70.1337646,-20.2572701,2018,0,0,0,1,IMPRUDENCIA DEL CONDUCTOR,ATROPELLO,9
10,2018-05-15 11:40:00,-70.1503467,-20.2174291,2018,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,10
11,2018-05-15 11:30:00,-70.149352,-20.2243124,2018,0,0,0,1,DESOBEDIENCIA A SEÑALIZACION,COLISION,11
12,2018-05-16 19:50:00,-70.1331312,-20.2008047,2018,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,12
13,2018-05-16 19:20:00,-70.1438746,-20.2416754,2018,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,COLISION,13
14,2018-12-26 01:25:00,-70.1293437,-20.2444949,2018,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,14
15,2018-05-15 07:45:00,-70.0986734,-20.2637153,2018,0,0,0,1,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,15
16,2018-05-15 07:50:00,-70.0969386,-20.2798006,2018,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,16
17,2018-05-17 13:30:00,-70.1445383,-20.2102667,2018,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,17
18,2018-05-17 20:30:00,-70.1361448,-20.2335869,2018,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,18
19,2018-05-17 17:30:00,-70.1528536,-20.2117876,2018,0,0,0,0,DESOBEDIENCIA A SEÑALIZACION,COLISION,19
20,2018-05-18 08:00:00,-70.0953563,-20.2697311,2018,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,20
21,2018-05-17 08:50:00,-70.1257417,-20.2691828,2018,0,0,0,2,IMPRUDENCIA DEL CONDUCTOR,COLISION,21
22,2018-05-18 08:00:00,-70.1407861,-20.2440011,2018,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,22
23,2018-05-18 19:00:00,-70.1436951,-20.2188278,2018,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,23
24,2018-05-18 15:00:00,-70.14781,-20.2243764,2018,0,0,0,0,DESOBEDIENCIA A SEÑALIZACION,COLISION,24
25,2018-05-19 17:05:00,-70.126604,-20.2449594,2018,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,COLISION,25
26,2018-05-20 07:30:00,-70.1423787,-20.2236518,2018,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,26
27,2018-05-20 20:30:00,-70.1467191,-20.2195518,2018,0,0,0,0,DESOBEDIENCIA A SEÑALIZACION,COLISION,27
28,2018-05-21 11:30:00,-70.136419,-20.2289833,2018,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,28
29,2018-05-18 15:30:00,-70.1039479,-20.2897322,2018,0,0,0,1,IMPRUDENCIA DEL CONDUCTOR,COLISION,29
30,2018-05-23 15:55:00,-70.1234944,-20.2651417,2018,0,0,0,0,PERDIDA CONTROL VEHICULO,CHOQUE,30
31,2018-05-24 13:29:00,-70.1432808,-20.2128747,2018,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,31
32,2018-05-24 19:40:00,-70.1431401,-20.2399771,2018,0,0,0,1,IMPRUDENCIA DEL CONDUCTOR,COLISION,32
33,2018-05-16 07:45:00,-70.1378486,-20.2277897,2018,0,1,0,0,DESOBEDIENCIA A SEÑALIZACION,COLISION,33
34,2018-05-25 14:40:00,-70.1513327,-20.2121701,2018,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,COLISION,34
35,2018-05-25 15:00:00,-70.1441964,-20.2152135,2018,0,0,0,1,IMPRUDENCIA DEL CONDUCTOR,COLISION,35
36,2018-05-25 19:40:00,-70.1306229,-20.2624201,2018,0,0,0,0,PERDIDA CONTROL VEHICULO,CHOQUE,36
