,Horas,LAT,LNG
6,03:30:00,-20.2442983,-70.1257647
14,01:25:00,-20.2444949,-70.1293437
37,03:05:00,-20.2161356,-70.1435283
48,02:00:00,-20.2600254,-70.1254437
69,03:50:00,-20.2187327,-70.1453448
70,04:30:00,-20.2364664,-70.1360525
78,05:30:00,-20.2281557,-70.1353667
90,04:30:00,-20.2748303,-70.1266976
98,03:35:00,-20.277224,-70.0805248
119,01:45:00,-20.2309547,-70.1320209
133,04:35:00,-20.2607969,-70.1319862
135,04:00:00,-20.2126716,-70.148467
153,01:20:00,-20.2342003,-70.1460099
162,04:20:00,-20.2193218,-70.1347013
194,00:50:00,-20.2930606,-70.1229349
204,00:10:00,-20.2139213,-70.151366
228,04:50:00,-20.2307894,-70.1306474
229,05:00:00,-20.2796226,-70.125655
232,01:20:00,-20.2105895,-70.1469306
233,01:30:00,-20.2212884,-70.1347762
246,00:50:00,-20.226501,-70.1446436
252,02:00:00,-20.2239835,-70.135173
253,05:00:00,-20.2247382,-70.139754
254,05:00:00,-20.2416754,-70.1438746
257,02:45:00,-20.2351843,-70.1472318
270,02:00:00,-20.2579189,-70.1051311
275,05:50:00,-20.265745,-70.1060396
281,04:15:00,-20.258204,-70.13157
282,06:00:00,-20.2597791,-70.1298651
291,04:30:00,-20.2441837,-70.1409449
298,02:00:00,-20.2175256,-70.1371063
299,04:00:00,-20.2199419,-70.1393996
327,05:00:00,-20.245836,-70.1401573
335,01:15:00,-20.2454468,-70.1255807
351,03:45:00,-20.2109436,-70.151012
354,04:00:00,-20.2782039,-70.127079
355,04:00:00,-20.2260359,-70.1372983
358,00:30:00,-20.2111121,-70.1399327
384,05:30:00,-20.2782039,-70.127079
385,05:50:00,-20.2212514,-70.1355322
394,04:55:00,-20.2255093,-70.1494647
409,00:10:00,-20.2187327,-70.1453448
414,00:25:00,-20.2115341,-70.1502028
423,05:40:00,-20.2144567,-70.1441315
424,02:30:00,-20.2675175,-70.0952849
451,01:30:00,-20.230635,-70.1376267
461,04:00:00,-20.2225978,-70.1444612
481,04:38:00,-20.2324433,-70.1359556
495,04:40:00,-20.2277543,-70.1383159
502,03:45:00,-20.2133074,-70.134039
519,01:40:00,-20.2289498,-70.1369628
521,01:40:00,-20.2624305,-70.1041131
529,05:35:00,-20.248115,-70.1245517
551,04:50:00,-20.2766394,-70.0792516
553,03:00:00,-20.2417381,-70.1341018
556,04:30:00,-20.2267431,-70.1397431
558,02:40:00,-20.2287626,-70.140574
595,04:20:00,-20.2441837,-70.1409449
642,00:30:00,-20.2278591,-70.131733
649,00:30:00,-20.2307033,-70.1356692
665,03:00:00,-20.2290448,-70.1408693
667,05:45:00,-20.2488936,-70.123545
680,02:00:00,-20.2930606,-70.1229349
688,04:00:00,-20.2221154,-70.1367067
694,05:00:00,-20.2805686,-70.0888341
696,02:30:00,-20.2397848,-70.1348591
708,00:30:00,-20.2774097,-70.1081041
709,04:55:00,-20.2879242,-70.1032668
718,05:40:00,-20.2692565,-70.1237211
733,00:35:00,-20.2382135,-70.1286667
744,03:00:00,-20.2285158,-70.146176
755,04:50:00,-20.2167325,-70.1523902
758,02:45:00,-20.2379088,-70.1271838
791,06:00:00,-20.237139,-70.1351597
792,01:00:00,-20.2443662,-70.129305
793,04:50:00,-20.2384295,-70.1348415
801,04:10:00,-20.2407675,-70.1369893
825,05:00:00,-20.2364664,-70.1360525
842,00:40:00,-20.2460119,-70.1330488
851,04:10:00,-20.2216013,-70.146812
861,05:20:00,-20.2193218,-70.1347013
862,02:05:00,-20.2143938,-70.1387663
866,05:20:00,-20.2187327,-70.1453448
873,02:59:00,-20.2489683,-70.1278562
