,Unnamed: 0,LNG,LAT,Año,Fecha,Hora,Fallecidos,Graves,Menos_Grav,Leves,Causa_CON,Tipo_CONA,Count_acc
0,0,-70.1480139,-20.2273588,2018,2018-05-11,07:12:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0
1,1,-70.1387314,-20.2304174,2018,2018-05-13,08:00:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,1
2,2,-70.1303701,-20.2330169,2018,2018-05-13,08:30:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,2
3,3,-70.1393996,-20.2199419,2018,2018-05-13,17:10:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,COLISION,3
4,4,-70.1370139,-20.2284457,2018,2018-05-13,17:30:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,4
5,5,-70.0992234,-20.2680481,2018,2018-05-13,18:20:00,0,0,0,2,ALCOHOL EN CONDUCTOR,COLISION,5
6,6,-70.1257647,-20.2442983,2018,2018-05-13,03:30:00,0,0,0,0,ALCOHOL EN CONDUCTOR,CHOQUE,6
7,7,-70.14459,-20.239015,2018,2018-05-14,17:05:00,0,0,0,0,FALLAS MECANICAS,CHOQUE,7
8,8,-70.1524706,-20.2120381,2018,2018-05-14,13:30:00,0,0,0,1,DESOBEDIENCIA A SEÑALIZACION,COLISION,8
9,9,-70.1337646,-20.2572701,2018,2018-05-15,08:20:00,0,0,0,1,IMPRUDENCIA DEL CONDUCTOR,ATROPELLO,9
10,10,-70.1503467,-20.2174291,2018,2018-05-15,11:40:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,10
11,11,-70.149352,-20.2243124,2018,2018-05-15,11:30:00,0,0,0,1,DESOBEDIENCIA A SEÑALIZACION,COLISION,11
12,12,-70.1331312,-20.2008047,2018,2018-05-16,19:50:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,12
13,13,-70.1438746,-20.2416754,2018,2018-05-16,19:20:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,COLISION,13
14,14,-70.1293437,-20.2444949,2018,2018-12-26,01:25:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,14
15,15,-70.0986734,-20.2637153,2018,2018-05-15,07:45:00,0,0,0,1,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,15
16,16,-70.0969386,-20.2798006,2018,2018-05-15,07:50:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,16
17,17,-70.1445383,-20.2102667,2018,2018-05-17,13:30:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,17
18,18,-70.1361448,-20.2335869,2018,2018-05-17,20:30:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,18
19,19,-70.1528536,-20.2117876,2018,2018-05-17,17:30:00,0,0,0,0,DESOBEDIENCIA A SEÑALIZACION,COLISION,19
20,20,-70.0953563,-20.2697311,2018,2018-05-18,08:00:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,20
21,21,-70.1257417,-20.2691828,2018,2018-05-17,08:50:00,0,0,0,2,IMPRUDENCIA DEL CONDUCTOR,COLISION,21
22,22,-70.1407861,-20.2440011,2018,2018-05-18,08:00:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,22
23,23,-70.1436951,-20.2188278,2018,2018-05-18,19:00:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,23
24,24,-70.14781,-20.2243764,2018,2018-05-18,15:00:00,0,0,0,0,DESOBEDIENCIA A SEÑALIZACION,COLISION,24
25,25,-70.126604,-20.2449594,2018,2018-05-19,17:05:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,COLISION,25
26,26,-70.1423787,-20.2236518,2018,2018-05-20,07:30:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,26
27,27,-70.1467191,-20.2195518,2018,2018-05-20,20:30:00,0,0,0,0,DESOBEDIENCIA A SEÑALIZACION,COLISION,27
28,28,-70.136419,-20.2289833,2018,2018-05-21,11:30:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,28
29,29,-70.1039479,-20.2897322,2018,2018-05-18,15:30:00,0,0,0,1,IMPRUDENCIA DEL CONDUCTOR,COLISION,29
30,30,-70.1234944,-20.2651417,2018,2018-05-23,15:55:00,0,0,0,0,PERDIDA CONTROL VEHICULO,CHOQUE,30
31,31,-70.1432808,-20.2128747,2018,2018-05-24,13:29:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,31
32,32,-70.1431401,-20.2399771,2018,2018-05-24,19:40:00,0,0,0,1,IMPRUDENCIA DEL CONDUCTOR,COLISION,32
33,33,-70.1378486,-20.2277897,2018,2018-05-16,07:45:00,0,1,0,0,DESOBEDIENCIA A SEÑALIZACION,COLISION,33
34,34,-70.1513327,-20.2121701,2018,2018-05-25,14:40:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,COLISION,34
35,35,-70.1441964,-20.2152135,2018,2018-05-25,15:00:00,0,0,0,1,IMPRUDENCIA DEL CONDUCTOR,COLISION,35
36,36,-70.1306229,-20.2624201,2018,2018-05-25,19:40:00,0,0,0,0,PERDIDA CONTROL VEHICULO,CHOQUE,36
37,37,-70.1435283,-20.2161356,2018,2018-05-26,03:05:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,37
38,38,-70.1262557,-20.2518105,2018,2018-05-26,07:40:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,38
39,39,-70.1307633,-20.2485799,2018,2018-05-26,18:10:00,0,0,0,1,IMPRUDENCIA DEL CONDUCTOR,COLISION,39
40,40,-70.1411928,-20.2172503,2018,2018-05-27,22:50:00,0,0,0,3,DESOBEDIENCIA A SEÑALIZACION,COLISION,40
41,41,-70.1495858,-20.2181521,2018,2018-05-27,07:42:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,41
42,42,-70.1441106,-20.238243,2018,2018-05-27,10:30:00,0,0,0,1,IMPRUDENCIA DEL CONDUCTOR,ATROPELLO,42
43,43,-70.1329638,-20.2291637,2018,2018-05-27,12:00:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,43
44,44,-70.1058554,-20.2734785,2018,2018-05-21,17:30:00,0,0,0,0,DESOBEDIENCIA A SEÑALIZACION,COLISION,44
45,45,-70.1409449,-20.2441837,2018,2018-05-28,16:15:00,0,0,0,1,IMPRUDENCIA DEL CONDUCTOR,COLISION,45
46,46,-70.1063884,-20.2709329,2018,2018-05-23,12:50:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,COLISION,46
47,47,-70.0951687,-20.2796676,2018,2018-05-23,13:30:00,0,0,0,0,CAUSAS NO DETERMINADAS,CHOQUE,47
48,48,-70.1254437,-20.2600254,2018,2018-05-28,02:00:00,0,0,0,0,ALCOHOL EN CONDUCTOR,CHOQUE,48
49,49,-70.1805181,-20.5364084,2018,2018-05-29,15:30:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,COLISION,49
50,50,-70.1464884,-20.2155092,2018,2018-06-10,07:18:00,0,0,0,0,ALCOHOL EN CONDUCTOR,CHOQUE,50
51,51,-70.0941636,-20.2607342,2018,2018-01-01,15:10:00,0,0,0,0,ALCOHOL EN CONDUCTOR,CHOQUE,51
52,52,-70.0441605,-20.2862298,2018,2018-01-05,17:30:00,0,0,0,1,IMPRUDENCIA DEL CONDUCTOR,COLISION,52
53,53,-70.0805248,-20.277224,2018,2018-05-27,12:30:00,0,0,0,1,DESOBEDIENCIA A SEÑALIZACION,COLISION,53
54,54,-70.1036395,-20.2672378,2018,2018-05-27,17:50:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,54
55,55,-70.0942196,-20.2754099,2018,2018-05-28,09:00:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,COLISION,55
56,56,-70.1361812,-20.2201278,2018,2018-05-30,19:20:00,0,0,0,0,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,56
